SOURCE_REPORTING_UNIT_NAME,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,LATITUDE,LONGITUDE,Locations_Address,OWNER_CODE,OWNER_DESCR,STATE,County
Tahoe National Forest,WESTVILLE,2008,2454640,Lightning,2454680,214,600,10836,39.1633,-120.66,"Placer County, CA, USA",5,USFS,CA,Placer
Angeles National Forest,MAREK,2008,2454750,Miscellaneous,2454750,286,1600,4824,34.2947,-118.361,"Lower Marek Mountway, Sylmar, CA 91342, USA",5,USFS,CA,Los Angeles
Shasta-Trinity National Forest,BUCKHORN,2008,2454640,Lightning,2454680,213,1800,31419,40.8667,-123.285,"Trinity County, CA, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,CAREY,2008,2454640,Lightning,2454680,213,1800,3044,41.0722,-123.302,"Trinity County, CA, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,ELMORE,2008,2454720,Arson,2454720,258,1920,343,40.8464,-122.365,"18601-18617 Lower Salt Creek Rd, Lakehead, CA 96051, USA",5,USFS,CA,Shasta
Shasta-Trinity National Forest,CEDAR,2008,2454640,Lightning,2454680,213,1800,25398,40.7814,-123.434,"Burnt Ranch, CA 95527, USA",5,USFS,CA,Trinity
Shasta-Trinity National Forest,MOTION,2008,2454640,Lightning,2454680,210,1800,28336,40.7167,-122.434,"Redding, CA 96001, USA",14,MISSING/NOT SPECIFIED,CA,Shasta
Shasta-Trinity National Forest,GRANITE,2008,2454640,Lightning,2454720,258,1800,542,40.9169,-123.001,"Trinity County, CA, USA",5,USFS,CA,Trinity
Plumas National Forest,PIT,2008,2454640,Lightning,2454750,280,1330,11496,39.97,-121.296,"Sierra Nevada, California, USA",5,USFS,CA,Plumas
Sierra National Forest,TEHIPITE,2008,2454670,Lightning,2454810,347,1200,7456,36.9036,-118.801,"Fresno County, CA, USA",5,USFS,CA,Fresno
Plumas National Forest,BELDEN,2008,2454640,Lightning,2454750,280,1300,474,40.015,-121.269,"Plumas County, CA, USA",5,USFS,CA,Plumas
Plumas National Forest,SCOTCH,2008,2454640,Lightning,2454710,244,1200,13009,39.7861,-121.187,"Meadow Valley, CA 95956, USA",5,USFS,CA,Plumas
Plumas National Forest,HARTMAN,2008,2454640,Lightning,2454710,244,1200,331,39.7331,-121.163,"Plumas County, CA, USA",5,USFS,CA,Plumas
Lassen National Forest,MILL,2008,2454640,Lightning,2454650,181,1800,4747,40.1503,-121.848,"California, USA",14,MISSING/NOT SPECIFIED,CA,Tehama
Lassen National Forest,SMOKEY,2008,2454640,Lightning,2454700,233,1200,1324,40.0547,-121.626,"Tehama County, CA, USA",14,MISSING/NOT SPECIFIED,CA,Tehama
Mendocino National Forest,YELLOW,2008,2454640,Lightning,2454790,325,1100,32250,40.0756,-123.096,"Trinity County, CA, USA",5,USFS,CA,Trinity
Stanislaus National Forest,NORTH MTN,2008,2454640,Lightning,2454670,201,1546,2889,37.895,-119.918,"Groveland, CA 95321, USA",5,USFS,CA,Tuolumne
Stanislaus National Forest,TELEGRAPH,2008,2454670,Miscellaneous,2454720,259,1800,34091,37.5675,-119.997,"5879 Sherlock Rd, Midpines, CA 95345, USA",14,MISSING/NOT SPECIFIED,CA,Mariposa
Mendocino National Forest,GROUSE,2008,2454640,Lightning,2454650,187,1630,6246,40.1197,-122.984,"Trinity County, CA, USA",5,USFS,CA,Trinity
Los Padres National Forest,TEA,2008,2454780,Campfire,2454790,320,1200,1940,34.4578,-119.661,"Unnamed Road, Montecito, CA 93108, USA",14,MISSING/NOT SPECIFIED,CA,Santa Barbara
Angeles National Forest,SAYRE,2008,2454780,Miscellaneous,2454790,326,600,11222,34.33,-118.411,"14145 Janna Way, Sylmar, CA 91342, USA",5,USFS,CA,Los Angeles
San Bernardino National Forest,FOXBROUGH,2008,2454760,Miscellaneous,2454760,296,1400,400,34.1775,-117.488,"4174 Foxborough Dr, Fontana, CA 92336, USA",14,MISSING/NOT SPECIFIED,CA,San Bernardino
Cleveland National Forest,FREEWAY,2008,2454790,Miscellaneous,2454790,323,1800,30305,33.8728,-117.739,"22737 Oakcrest Cir, Yorba Linda, CA 92887, USA",14,MISSING/NOT SPECIFIED,CA,Orange
Shasta-Trinity National Forest,STEIN,2008,2454640,Lightning,2454650,183,1800,1209,40.8072,-122.098,"Shasta County, CA, USA",5,USFS,CA,Shasta
Lassen National Forest,CORRAL,2008,2454640,Lightning,2454650,189,800,12500,40.875,-120.875,"Lassen County, CA, USA",13,STATE OR PRIVATE,CA,Lassen
Los Padres National Forest,JESUSITA,2009,2454960,Equipment Use,2454970,140,1800,8733,34.4742,-119.728,"Jesusita Trail, Santa Barbara, CA 93105, USA",13,STATE OR PRIVATE,CA,Santa Barbara
Inyo National Forest,FORKS,2009,2455030,Lightning,2455040,205,600,3268,37.2681,-118.584,"Swall Meadows, CA 93514, USA",5,USFS,CA,Inyo
Los Padres National Forest,PONDEROSA,2009,2455040,Miscellaneous,2455060,225,1800,458,35.99,-121.393,"Los Padres National Forest, Goleta, CA, USA",5,USFS,CA,Monterey
Shasta-Trinity National Forest,REDSPOT,2009,2455010,Lightning,2455040,207,1800,1120,41.1514,-123.401,"Trinity County, CA, USA",5,USFS,CA,Trinity
Klamath National Forest,TENNANT,2009,2455030,Equipment Use,2455040,205,1800,3226,41.7119,-122.05,"Unnamed Road, Macdoel, CA 96058, USA",5,USFS,CA,Siskiyou
Lassen National Forest,LOAF,2009,2455040,Lightning,2455060,224,1200,9356,40.6833,-121.467,"Shasta County, CA, USA",5,USFS,CA,Shasta
Lassen National Forest,BROWN,2009,2455050,Lightning,2455050,214,930,1865,40.8339,-121.542,"Hat Creek, CA 96040, USA",5,USFS,CA,Shasta
Plumas National Forest,ELEPHANT,2009,2455060,Miscellaneous,2455070,243,1800,445,39.8653,-121.371,"Plumas County, CA, USA",5,USFS,CA,Plumas
Los Padres National Forest,ALISO,2009,2454980,Debris Burning,2454980,145,1800,350,34.9303,-119.732,"Santa Barbara County, CA, USA",14,MISSING/NOT SPECIFIED,CA,Santa Barbara
Los Padres National Forest,SULPHUR,2009,2455020,Miscellaneous,2455030,201,1800,343,34.6994,-119.287,"Maricopa, CA 93252, USA",5,USFS,CA,Ventura
Angeles National Forest,MORRIS,2009,2455070,Arson,2455170,334,1800,2163,34.1867,-117.871,"Irwindale, CA 91702, USA",5,USFS,CA,Los Angeles
Shasta-Trinity National Forest,GOOSE,2009,2455050,Lightning,2455080,244,1800,3949,40.955,-121.794,"Burney, CA 96013, USA",5,USFS,CA,Shasta
Shasta-Trinity National Forest,CHALK,2009,2455050,Lightning,2455080,244,1800,6923,40.9806,-121.814,"Shasta County, CA, USA",5,USFS,CA,Shasta
Angeles National Forest,OSITO,2009,2455030,Equipment Use,2455030,194,2000,300,34.6214,-118.717,"Castaic, CA 91384, USA",5,USFS,CA,Los Angeles
Plumas National Forest,SILVER,2009,2455090,Miscellaneous,2455100,270,1800,307,39.9375,-121.091,"Spring Garden, CA 95971, USA",5,USFS,CA,Plumas
Los Padres National Forest,LA BREA,2009,2455050,Miscellaneous,2455070,234,1800,91622,34.9497,-119.978,"Santa Barbara County, CA, USA",5,USFS,CA,Santa Barbara
Sequoia National Forest,SHOTGUN,2009,2455010,Lightning,2455120,285,1800,900,36.3364,-118.536,"Sierra Nevada, California, USA",5,USFS,CA,Tulare
Cleveland National Forest,VAIL,2009,2455090,Equipment Use,2455090,263,1800,398,33.4678,-116.928,"45325 Dugan Dr, Aguanga, CA 92536, USA",14,MISSING/NOT SPECIFIED,CA,Riverside
Stanislaus National Forest,KNIGHT,2009,2455040,Miscellaneous,2455060,233,1600,6130,38.175,-120.249,"Twain Harte, CA 95383, USA",5,USFS,CA,Tuolumne
Sequoia National Forest,GRANITE,2009,2455030,Lightning,2455140,306,1700,1417,36.1536,-118.225,"Pearsonville, CA 93527, USA",5,USFS,CA,Tulare
Sequoia National Forest,LION,2009,2455010,Lightning,2455120,289,1700,2577,36.1336,-118.299,"Pearsonville, CA 93527, USA",5,USFS,CA,Tulare
Klamath National Forest,RED ROCK,2009,2455060,Miscellaneous,2455080,247,1800,1364,41.5519,-123.167,"Fort Jones, CA 96032, USA",5,USFS,CA,Siskiyou
San Bernardino National Forest,ELM,2009,2455020,Miscellaneous,2455020,188,2300,350,33.8936,-116.895,"Old Idyllwild Rd, Banning, CA 92220, USA",14,MISSING/NOT SPECIFIED,CA,Riverside
San Bernardino National Forest,SHEEP,2009,2455110,Miscellaneous,2455130,297,1800,7128,34.2297,-117.478,"Lytle Creek, CA 92358, USA",5,USFS,CA,San Bernardino
Six Rivers National Forest,MILL CREEK 4,2009,2455110,Arson,2455150,322,600,3689,41.1942,-123.629,"Hoopa, CA 95546, USA",14,MISSING/NOT SPECIFIED,CA,Humboldt
Angeles National Forest,STATION,2009,2455070,Arson,2455100,265,1800,160371,34.2425,-118.189,"North Arroyo, Pasadena, CA, USA",5,USFS,CA,Los Angeles
Six Rivers National Forest,LT-17 (BACKBONE),2009,2455010,Lightning,2455080,246,800,5065,41.04,-123.463,"California, USA",5,USFS,CA,Humboldt
San Bernardino National Forest,COTTONWOOD,2009,2455070,Miscellaneous,2455070,243,1800,2409,33.7361,-116.818,"48230 CA-74, Hemet, CA 92544, USA",5,USFS,CA,Riverside
San Bernardino National Forest,OAK GLEN,2009,2455070,Arson,2455080,248,1600,4000,34.0503,-117.01,"36738-36470 James Birch Rd, Yucaipa, CA 92399, USA",14,MISSING/NOT SPECIFIED,CA,San Bernardino
Angeles National Forest,DEVIL,1992,2448820,Equipment Use,2448820,203,600,1337,34.565,-118.682,"Castaic, CA 91384, USA",5,USFS,CA,
Cleveland National Forest,TATE,1992,2448860,Miscellaneous,2448860,242,1025,500,33.47,-117.47,"62407 San Mateo Trail, Camp Pendleton North, CA 92055, USA",14,MISSING/NOT SPECIFIED,CA,
Cleveland National Forest,YSABEL,1992,2448790,Miscellaneous,2448790,167,1800,650,33.085,-116.883,"San Diego County, CA, USA",5,USFS,CA,
Cleveland National Forest,WILDCAT,1992,2448850,Miscellaneous,2448850,233,1500,1095,32.9167,-116.872,"13743 Shenma Rd, Lakeside, CA 92040, USA",14,MISSING/NOT SPECIFIED,CA,
Cleveland National Forest,STAR,1992,2448820,Miscellaneous,2448820,198,1403,430,32.6333,-116.517,"Campo, CA 91906, USA",14,MISSING/NOT SPECIFIED,CA,
Cleveland National Forest,LOVELAND,1992,2448820,Campfire,2448820,203,1800,1550,32.7906,-116.737,"Alpine, CA 91901, USA",13,STATE OR PRIVATE,CA,
Eldorado National Forest,CLEVELAND,1992,2448890,Miscellaneous,2448910,286,1800,24580,38.775,-120.45,"Pacific House, CA 95726, USA",6,OTHER FEDERAL,CA,
Inyo National Forest,RAINBOW,1992,2448850,Lightning,2448880,260,1700,8800,37.55,-119.095,"Sierra Nevada, California, USA",5,USFS,CA,
Inyo National Forest,ABERDEEN,1992,2448800,Lightning,2448800,178,1800,2000,36.99,-118.318,"Independence, CA 93526, USA",5,USFS,CA,
Klamath National Forest,GARVEY,1992,2448780,Arson,2448780,156,1800,973,41.8217,-122.65,"6827-6839 Klamath River Rd, Yreka, CA 96097, USA",14,MISSING/NOT SPECIFIED,CA,
Lassen National Forest,DAY,1992,2448780,Equipment Use,2448780,158,800,500,41.2428,-121.423,"5133 Day Rd, McArthur, CA 96056, USA",14,MISSING/NOT SPECIFIED,CA,
Lassen National Forest,MUDD,1992,2448850,Lightning,2448850,228,1800,700,40.8561,-120.887,"Lassen County, CA, USA",5,USFS,CA,
Los Padres National Forest,PINAL,1992,2448770,Miscellaneous,2448770,153,1800,300,36.0836,-121.399,"Greenfield, CA 93927, USA",14,MISSING/NOT SPECIFIED,CA,
Los Padres National Forest,SECO,1992,2448840,Miscellaneous,2448840,217,1800,2559,36.2322,-121.46,"47291 Arroyo Seco Rd, Greenfield, CA 93927, USA",14,MISSING/NOT SPECIFIED,CA,
Los Padres National Forest,CIENEGA,1992,2448840,Miscellaneous,2448840,218,1800,910,36.2617,-121.667,"Big Sur, CA 93920, USA",5,USFS,CA,
Los Padres National Forest,SLICKROCK,1992,2448850,Miscellaneous,2448860,235,1800,2480,35.9808,-121.351,"Big Sur, CA 93920, USA",6,OTHER FEDERAL,CA,
Los Padres National Forest,MILPITAS,1992,2448880,Miscellaneous,2448880,263,2130,310,36.1039,-121.339,"Greenfield, CA 93927, USA",14,MISSING/NOT SPECIFIED,CA,
Los Padres National Forest,PENDOLA,1992,2448910,Equipment Use,2448910,289,800,430,34.5333,-119.678,"Santa Barbara County, CA, USA",5,USFS,CA,
Modoc National Forest,TRIANGLE,1992,2448850,Lightning,2448920,302,1300,700,41.68,-120.842,"Modoc County, CA, USA",5,USFS,CA,
Modoc National Forest,TIMBER,1992,2448800,Lightning,2448800,177,1800,1385,41.625,-121.287,"Tulelake, CA 96134, USA",5,USFS,CA,
Six Rivers National Forest,MARTIN,1992,2448880,Arson,2448890,266,1800,1453,41.2333,-123.767,"Hoopa, CA 95546, USA",14,MISSING/NOT SPECIFIED,CA,
Plumas National Forest,ROBINSON,1992,2448860,Lightning,2448860,243,1600,480,40.0056,-120.145,"Doyle, CA 96109, USA",6,OTHER FEDERAL,CA,
San Bernardino National Forest,,1992,2448870,Arson,2448870,247,1600,560,34.3733,-117.18,"Apple Valley, CA 92308, USA",5,USFS,CA,
San Bernardino National Forest,CAJON,1992,2448890,Children,2448890,270,1800,1596,34.2583,-117.46,"Unnamed Road, San Bernardino, CA 92407, USA",5,USFS,CA,
San Bernardino National Forest,CACTUS,1992,2448770,Miscellaneous,2448780,156,1800,1150,33.6667,-116.953,"Santa Fe St, Hemet, CA 92544, USA",14,MISSING/NOT SPECIFIED,CA,
San Bernardino National Forest,BANNING,1992,2448810,Miscellaneous,2448810,189,600,1200,33.8817,-116.883,"Riverside County, CA, USA",13,STATE OR PRIVATE,CA,
San Bernardino National Forest,,1992,2448870,Arson,2448870,253,600,400,33.9833,-116.833,"11101 Potrero Rd, Banning, CA 92220, USA",14,MISSING/NOT SPECIFIED,CA,
Sequoia National Forest,CALLBOX,1992,2448770,Campfire,2448770,145,1800,1195,35.56,-118.602,"Bakersfield, CA 93306, USA",5,USFS,CA,
Shasta-Trinity National Forest,BARKER,1992,2448850,Arson,2448860,241,1800,5050,40.6017,-123.098,"Barker Creek Rd, Hayfork, CA 96041, USA",13,STATE OR PRIVATE,CA,
Shasta-Trinity National Forest,FOUNTAIN,1992,2448850,Arson,2448860,243,1800,64000,40.7617,-121.98,"Bluelight Mine Rd, Bella Vista, CA 96008, USA",14,MISSING/NOT SPECIFIED,CA,
Sierra National Forest,ITALIAN,1992,2448850,Equipment Use,2448850,227,2359,1422,37.1633,-119.415,"North Fork, CA 93643, USA",5,USFS,CA,
Stanislaus National Forest,RUBY,1992,2448870,Smoking,2448870,253,2359,3460,38.125,-120.24,"Unnamed Road, Twain Harte, CA 95383, USA",13,STATE OR PRIVATE,CA,
Stanislaus National Forest,GULCH,1992,2448850,Miscellaneous,2448860,238,1800,18000,38.1683,-120.607,"4649 High Country Rd, San Andreas, CA 95249, USA",14,MISSING/NOT SPECIFIED,CA,
Los Padres National Forest,CACHUMA,1992,2448860,Miscellaneous,2448860,236,600,710,34.5167,-119.908,"Santa Barbara, CA 93117, USA",5,USFS,CA,
Angeles National Forest,KINNELOA,1993,2449290,Campfire,2449300,310,600,5700,34.185,-118.087,"2399 Kinclair Dr, Pasadena, CA 91107, USA",5,USFS,CA,
Cleveland National Forest,ORTEGA,1993,2449290,Miscellaneous,2449290,307,1800,21384,33.4717,-117.488,"Oceanside, CA 92055, USA",5,USFS,CA,
Cleveland National Forest,EAGLE,1993,2449120,Campfire,2449120,136,1800,4600,32.9833,-116.733,"Ramona, CA 92065, USA",5,USFS,CA,
Cleveland National Forest,BODEN,1993,2449120,Miscellaneous,2449120,133,1800,1300,33.1333,-116.867,"San Diego County, CA, USA",5,USFS,CA,
Cleveland National Forest,VAIL_#2,1993,2449290,Arson,2449290,301,600,500,33.4767,-117.025,"39315 Pauba Rd, Temecula, CA 92592, USA",14,MISSING/NOT SPECIFIED,CA,
Cleveland National Forest,GUEJITO,1993,2449290,Miscellaneous,2449290,305,242,20768,33.1583,-116.973,"24360 Old Wagon Rd, Escondido, CA 92027, USA",14,MISSING/NOT SPECIFIED,CA,
Inyo National Forest,,1993,2449200,Lightning,2449200,215,1600,405,37.7883,-118.908,"Mono County, CA, USA",5,USFS,CA,
Los Padres National Forest,MARRE,1993,2449260,Smoking,2449270,281,1800,43201,34.6867,-119.958,"Los Padres National Forest, Goleta, CA, USA",13,STATE OR PRIVATE,CA,
Los Padres National Forest,WHEEL,1993,2449290,Arson,2449290,305,1524,1650,34.5183,-119.295,"Ojai, CA 93023, USA",5,USFS,CA,
Six Rivers National Forest,,1993,2449320,Debris Burning,2449320,331,600,307,40.275,-123.56,"Humboldt County, CA, USA",14,MISSING/NOT SPECIFIED,CA,
San Bernardino National Forest,MILL CREEK,1993,2449290,Equipment Use,2449290,302,1800,4680,34.0833,-117.038,"Mentone, CA 92359, USA",14,MISSING/NOT SPECIFIED,CA,
San Bernardino National Forest,REPPLIER,1993,2449290,Equipment Use,2449300,309,600,8780,33.94,-116.883,"546 W Indian School Ln, Banning, CA 92220, USA",14,MISSING/NOT SPECIFIED,CA,
San Bernardino National Forest,,1993,2449210,Miscellaneous,2449210,219,1800,475,33.75,-116.833,"Bee Canyon Truck Trail, Hemet, CA 92544, USA",5,USFS,CA,
Sequoia National Forest,CHIMNEY,1993,2449170,Arson,2449170,181,1800,800,36.0133,-118.83,"32698-32648 Indian Reservation Dr, Springville, CA 93265, USA",6,OTHER FEDERAL,CA,
Sequoia National Forest,GIBBON,1993,2449220,Equipment Use,2449230,239,1800,750,36.0083,-118.78,"Woodville, CA 93257, USA",6,OTHER FEDERAL,CA,
Sequoia National Forest,POWER,1993,2449120,Arson,2449120,132,2359,517,35.45,-118.782,"Bakersfield, CA 93306, USA",14,MISSING/NOT SPECIFIED,CA,
Sequoia National Forest,RUSSIA,1993,2449230,Arson,2449230,243,1800,1485,35.465,-118.76,"Bakersfield, CA 93306, USA",5,USFS,CA,
Sierra National Forest,SYCAMORE,1993,2449180,Arson,2449180,195,1800,500,36.975,-119.342,"31673-31949 Sycamore Rd, Tollhouse, CA 93667, USA",14,MISSING/NOT SPECIFIED,CA,
San Bernardino National Forest,,1993,2449180,Arson,2449180,192,1800,485,34.3167,-117.46,"Phelan, CA 92371, USA",5,USFS,CA,
Angeles National Forest,HEATON,1994,2449580,Campfire,2449590,233,1800,600,34.2583,-117.757,"Irwindale, CA 91702, USA",5,USFS,CA,
Angeles National Forest,SCOUT,1994,2449530,Campfire,2449530,181,1800,3020,34.4167,-117.635,"9179 Arena Rd, Pinon Hills, CA 92372, USA",5,USFS,CA,
Angeles National Forest,SHOOTING,1994,2449530,Miscellaneous,2449530,180,600,3490.1,34.4433,-118.08,"Palmdale, CA 93550, USA",5,USFS,CA,
Angeles National Forest,AGUA DULCE,1994,2449630,Miscellaneous,2449630,281,1700,1021,34.4567,-118.33,"30918-31302 Agua Dulce Canyon Rd, Santa Clarita, CA 91390, USA",14,MISSING/NOT SPECIFIED,CA,
Cleveland National Forest,SECOND,1994,2449530,Miscellaneous,2449550,197,2130,5120,33.1583,-116.867,"Ramona, CA 92065, USA",13,STATE OR PRIVATE,CA,
Cleveland National Forest,BROWNS,1994,2449570,Miscellaneous,2449570,222,1800,435,32.8667,-116.683,"21352-21342 Viejas Grade Rd, Alpine, CA 91901, USA",6,OTHER FEDERAL,CA,
Klamath National Forest,RHOMBUS,1994,2449550,Lightning,2449560,206,1800,300,41.8583,-122.958,"Klamath River, CA 96050, USA",13,STATE OR PRIVATE,CA,
Klamath National Forest,BEAR,1994,2449550,Lightning,2449560,210,1800,1582,41.7233,-123.545,"Siskiyou County, CA, USA",5,USFS,CA,
Klamath National Forest,KELSEY,1994,2449560,Lightning,2449570,222,800,300,41.6917,-123.64,"Siskiyou County, CA, USA",5,USFS,CA,
Klamath National Forest,HARRINGTON,1994,2449550,Lightning,2449570,222,800,1203,41.6667,-123.663,"Siskiyou County, CA, USA",5,USFS,CA,
Klamath National Forest,JACK #1,1994,2449560,Lightning,2449570,222,1800,28953,41.635,-123.638,"Siskiyou County, CA, USA",5,USFS,CA,
Klamath National Forest,SPECIMEN,1994,2449610,Lightning,2449640,285,1800,7015,41.365,-123.15,"Siskiyou County, CA, USA",5,USFS,CA,
Lassen National Forest,BARKLEY,1994,2449610,Lightning,2449640,283,1800,44683,40.135,-121.678,"Sierra Nevada, California, USA",5,USFS,CA,
Mendocino National Forest,SUGARFOOT,1994,2449590,Smoking,2449610,253,1200,2778,39.88,-122.795,"Tehama County, CA, USA",5,USFS,CA,
Plumas National Forest,DOYLE,1994,2449510,Debris Burning,2449510,156,1800,2000,40.0069,-120.145,"Doyle, CA 96109, USA",13,STATE OR PRIVATE,CA,
San Bernardino National Forest,DEVILS,1994,2449540,Miscellaneous,2449540,190,1800,12303,34.3017,-117.128,"San Bernardino County, CA, USA",5,USFS,CA,
San Bernardino National Forest,ROUSE,1994,2449580,Lightning,2449580,230,600,540,33.545,-117.522,"Mission Viejo, CA 92675, USA",5,USFS,CA,
San Bernardino National Forest,WILLOW,1994,2449580,Lightning,2449580,230,600,1200,33.56,-117.557,"Portola Hills, CA 92679, USA",5,USFS,CA,
San Bernardino National Forest,FRANKISH,1994,2449550,Campfire,2449550,196,600,308.8,34.1717,-117.633,"Upland, CA 91784, USA",13,STATE OR PRIVATE,CA,
San Bernardino National Forest,WATERMAN,1994,2449590,Arson,2449590,236,1800,350,33.4433,-117.635,"260 Via Socorro, San Clemente, CA 92672, USA",13,STATE OR PRIVATE,CA,
San Bernardino National Forest,PALM,1994,2449530,Lightning,2449540,191,1800,20901,33.6367,-116.508,"Riverside County, CA, USA",5,USFS,CA,
San Bernardino National Forest,LAKE HEMET,1994,2449530,Lightning,2449540,185,1800,622,33.6667,-116.7,"Mountain Center, CA 92561, USA",13,STATE OR PRIVATE,CA,
San Bernardino National Forest,FAIRVIEW,1994,2449530,Debris Burning,2449530,181,1800,6420,33.85,-116.683,"Riverside County, CA, USA",14,MISSING/NOT SPECIFIED,CA,
San Bernardino National Forest,HIGHWAY 74,1994,2449570,Lightning,2449570,220,1800,1150,33.5583,-116.57,"Anza, CA 92539, USA",5,USFS,CA,
San Bernardino National Forest,ESPERANZA,1994,2449590,Arson,2449590,235,1800,657,33.9017,-116.737,"F St, Cabazon, CA 92230, USA",14,MISSING/NOT SPECIFIED,CA,
Sequoia National Forest,PEAK,1994,2449530,Lightning,2449540,183,1800,2926,35.5033,-118.703,"Bakersfield, CA 93306, USA",5,USFS,CA,
Sequoia National Forest,LUCAS #4,1994,2449530,Lightning,2449540,183,1800,5179,35.455,-118.713,"Kern County, CA, USA",13,STATE OR PRIVATE,CA,
Shasta-Trinity National Forest,SCORPION,1994,2449610,Lightning,2449620,267,1800,638,41.1017,-122.663,"Trinity County, CA, USA",5,USFS,CA,
Sierra National Forest,BIG CREEK,1994,2449590,Miscellaneous,2449600,245,600,5250,37.2083,-119.295,"Fresno County, CA, USA",5,USFS,CA,
Sierra National Forest,GARLIC,1994,2449520,Lightning,2449520,170,1900,626,36.86,-118.943,"Fresno County, CA, USA",5,USFS,CA,
Sierra National Forest,SECATA,1994,2449600,Miscellaneous,2449600,247,600,595,36.8883,-119.197,"Tollhouse, CA 93667, USA",5,USFS,CA,
Stanislaus National Forest,CREEK,1994,2449570,Smoking,2449580,224,800,1409,38.0667,-120.35,"24400 Forest Rte 4N26, Columbia, CA 95310, USA",5,USFS,CA,
Tahoe National Forest,COTTONWOOD,1994,2449580,Arson,2449600,243,1800,46800,39.5417,-120.317,"Sierraville, CA 96126, USA",5,USFS,CA,
Tahoe National Forest,CRYSTAL,1994,2449570,Equipment Use,2449580,227,1800,7310,39.5017,-120.067,"Floriston, CA 96111, USA",5,USFS,CA,
Tahoe National Forest,HIRSCHDALE,1994,2449580,Equipment Use,2449590,234,1800,1300,39.3817,-120.082,"10146 Hirschdale Rd, Truckee, CA 96161, USA",14,MISSING/NOT SPECIFIED,CA,
Angeles National Forest,FREEWAY,1995,2449930,Equipment Use,2449930,216,1600,450,34.5183,-118.63,"32943 Ridge Rte Rd, Castaic, CA 91384, USA",14,MISSING/NOT SPECIFIED,CA,
Angeles National Forest,FREEWAY II,1995,2450000,Arson,2450000,278,1800,1370,34.4567,-118.348,"Agua Dulce, CA 91390, USA",14,MISSING/NOT SPECIFIED,CA,
Cleveland National Forest,WARNER,1995,2450000,Arson,2450010,290,1800,2388,33.335,-116.715,"Peralta Dr, Warner Springs, CA 92086, USA",14,MISSING/NOT SPECIFIED,CA,
Cleveland National Forest,SPRING,1995,2450010,Equipment Use,2450010,294,1800,390,33.38,-116.72,"Unnamed Road, Warner Springs, CA 92086, USA",14,MISSING/NOT SPECIFIED,CA,
Cleveland National Forest,BUTTERFIELD,1995,2449890,Arson,2449890,177,1800,7083,32.975,-116.442,"Julian, CA 92036, USA",14,MISSING/NOT SPECIFIED,CA,
Cleveland National Forest,EL MONTE,1995,2449960,Smoking,2449960,246,1800,8100,32.8883,-116.827,"16438 El Monte Rd, Lakeside, CA 92040, USA",14,MISSING/NOT SPECIFIED,CA,
Inyo National Forest,POLE,1995,2449880,Miscellaneous,2449920,201,2300,5550,37.4133,-118.6,"Vanadium Ranch Rd, Bishop, CA 93514, USA",5,USFS,CA,
Klamath National Forest,PONY,1995,2449930,Campfire,2449940,227,1800,2095,41.6367,-123.602,"Siskiyou County, CA, USA",5,USFS,CA,
San Bernardino National Forest,ROUSE,1995,2449930,Campfire,2449940,220,1800,1039,34.2867,-117.145,"Squint Ranch Rd, California, USA",5,USFS,CA,
San Bernardino National Forest,CROWDER,1995,2449920,Equipment Use,2449920,207,2359,1000,34.3733,-117.478,"6684-6300 Shasta Rd, Phelan, CA 92371, USA",5,USFS,CA,
San Bernardino National Forest,VERBENIA,1995,2449930,Equipment Use,2449940,224,1200,23455,33.9517,-116.692,"Whitewater, CA 92282, USA",14,MISSING/NOT SPECIFIED,CA,
San Bernardino National Forest,BLUFF,1995,2450000,Campfire,2450010,293,1800,2624,33.9967,-116.918,"8701 Peach Summit Dr, Banning, CA 92220, USA",14,MISSING/NOT SPECIFIED,CA,
San Bernardino National Forest,APACHE,1995,2449990,Arson,2449990,272,1800,3500,33.925,-116.797,"Unnamed Road, Cabazon, CA 92230, USA",14,MISSING/NOT SPECIFIED,CA,
San Bernardino National Forest,ESPERANZA,1995,2450050,Equipment Use,2450050,331,800,660,33.9,-116.767,"Cabazon, CA 92230, USA",14,MISSING/NOT SPECIFIED,CA,
Sequoia National Forest,ROCKY,1995,2449920,Miscellaneous,2449920,200,600,1704,35.48,-118.748,"Kern County, CA, USA",5,USFS,CA,
Sierra National Forest,POWERHOUSE #2,1995,2449950,Arson,2449950,236,2359,492,37.1333,-119.505,"Auberry, CA 93602, USA",14,MISSING/NOT SPECIFIED,CA,
Tahoe National Forest,HELESTER,1995,2449940,Equipment Use,2449950,228,2000,624,39.2111,-120.671,"Placer County, CA, USA",13,STATE OR PRIVATE,CA,
Humboldt-Toiyabe National Forest,MT. JACKSON,1996,2450310,Lightning,2450310,230,1800,857,38.3067,-119.376,"Mono County, CA, USA",5,USFS,CA,
Modoc National Forest,RANCH,1996,2450320,Lightning,2450330,246,600,551,41.6231,-121.247,"Modoc County, CA, USA",5,USFS,CA,
Modoc National Forest,DAMON/LONG,1996,2450320,Lightning,2450330,243,1800,23398,41.565,-121.247,"California, USA",5,USFS,CA,
