FIRE_NAME,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_YEAR,START_DATE,END_DATE,STATE,COUNTY,OWNER_DESCR,STAT_CAUSE_DESCR
SULPHUR,34.69944444,-119.2866667,343,2009,7/11/2009,7/20/2009,CA,111,USFS,Miscellaneous
ELM,33.89361111,-116.8947222,350,2009,7/7/2009,7/7/2009,CA,65,MISSING/NOT SPECIFIED,Miscellaneous
REDSPOT,41.15138889,-123.4013889,1120,2009,7/2/2009,7/26/2009,CA,105,USFS,Lightning
LT-17 (BACKBONE),41.04,-123.4633333,5065,2009,7/2/2009,9/3/2009,CA,23,USFS,Lightning
LION,36.13361111,-118.2988889,2577,2009,6/30/2009,10/16/2009,CA,107,USFS,Lightning
RUMSEY,38.9167,-122.3161,716,2009,6/29/2009,7/2/2009,CA,Yolo,PRIVATE,Equipment Use
ROCK                     ,38.03888888,-120.8480556,410,2009,6/28/2009,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
ROCKY,35.1,-118.044444,300,2009,6/24/2009,6/25/2009,CA,Kern,MISSING/NOT SPECIFIED,Missing/Undefined
SHOTGUN,36.33638889,-118.5355556,900,2009,6/23/2009,10/12/2009,CA,107,USFS,Lightning
PARKWAY,34.975278,-118.948056,690,2009,6/22/2009,6/22/2009,CA,Kern,COUNTY,Missing/Undefined
EXPLOSIVE,37.63316,-121.5025,2163,2009,6/19/2009,6/19/2009,CA,,STATE OR PRIVATE,Powerline
HARDEN,37.89373,-119.70367,1654,2009,6/8/2009,8/9/2009,CA,,NPS,Lightning
GROUSE,37.69074,-119.6836,3007,2009,5/30/2009,8/12/2009,CA,,NPS,Lightning
OLIVER IC,33.879773,-117.171413,500,2009,5/27/2009,,CA,,STATE OR PRIVATE,Miscellaneous
LOST HORSE,33.9575,-116.1331,450,2009,5/24/2009,6/2/2009,CA,,NPS,Arson
ALISO,34.93027778,-119.7316667,350,2009,5/24/2009,5/25/2009,CA,83,MISSING/NOT SPECIFIED,Debris Burning
MUSTANG                  ,37.21805555,-121.36,570,2009,5/13/2009,,CA,,MISSING/NOT SPECIFIED,Debris Burning
JESUSITA,34.47416667,-119.7280556,8733,2009,5/5/2009,5/20/2009,CA,83,STATE OR PRIVATE,Equipment Use
,40.795,-121.9411111,3060,2009,4/17/2009,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
FORT                     ,36.89111111,-118.1911111,945,2009,2/5/2009,,CA,,MISSING/NOT SPECIFIED,Debris Burning
FREEWAY,33.87277778,-117.7388889,30305,2008,11/15/2008,11/18/2008,CA,59,MISSING/NOT SPECIFIED,Miscellaneous
SAYRE,34.33,-118.4111111,11222,2008,11/14/2008,11/21/2008,CA,37,USFS,Miscellaneous
TEA,34.45777778,-119.6605556,1940,2008,11/13/2008,11/15/2008,CA,83,MISSING/NOT SPECIFIED,Campfire
LACKERMAN                ,39.87888888,-121.4388889,1310,2008,10/23/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
LONG                     ,39.90805555,-121.3830556,420,2008,10/23/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
FOXBOROUGH               ,34.16611111,-117.5069444,324,2008,10/22/2008,,CA,,MISSING/NOT SPECIFIED,Arson
FOXBROUGH,34.1775,-117.4880556,400,2008,10/22/2008,10/22/2008,CA,71,MISSING/NOT SPECIFIED,Miscellaneous
SESNON,34.3097,-118.6089,14703,2008,10/13/2008,10/25/2008,CA,Los Angeles,BLM,Powerline
JULIETT,33.310833,-117.296111,4026,2008,10/13/2008,,CA,SAN DIEGO,OTHER FEDERAL,Missing/Undefined
MAREK,34.29472222,-118.3611111,4824,2008,10/12/2008,10/12/2008,CA,37,USFS,Miscellaneous
ANGEL,37.874444,-122.4375,303,2008,10/12/2008,10/16/2008,CA,Marin,MISSING/NOT SPECIFIED,Missing/Undefined
DEER PARK                ,38.52888888,-122.4769444,300,2008,10/10/2008,,CA,,MISSING/NOT SPECIFIED,Equipment Use
MAXWELL ASSIST,39.273296,-122.182029,500,2008,10/9/2008,10/9/2008,CA,,PRIVATE,Miscellaneous
NOVEMBER,33.272778,-117.346389,1400,2008,10/8/2008,10/9/2008,CA,SAN DIEGO,OTHER FEDERAL,Missing/Undefined
DOME ROCK,38.33416667,-119.9841667,914,2008,9/30/2008,10/1/2008,CA,109,USFS,Lightning
CHALK,36.0025,-121.4397222,11200,2008,9/27/2008,,CA,53,USFS,Miscellaneous
ROBLAR,33.425,-117.3916667,400,2008,9/25/2008,9/25/2008,CA,73,MISSING/NOT SPECIFIED,Miscellaneous
HIDDEN,36.6069,-118.8579,3685,2008,9/10/2008,10/8/2008,CA,,NPS,Lightning
GULCH,40.36666667,-122.935,2847,2008,9/7/2008,9/11/2008,CA,89,USFS,Equipment Use
ELMORE,40.84638889,-122.3647222,343,2008,9/7/2008,9/14/2008,CA,89,USFS,Arson
DEERHORN,41.1693,-123.6962,359,2008,9/4/2008,9/20/2008,CA,,TRIBAL,Arson
GLADDING,38.941081,-121.289102,1000,2008,9/1/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
MYRNA,39.1025,-121.587778,456,2008,9/1/2008,,CA,YUBA,MUNICIPAL/LOCAL,Missing/Undefined
LODGE                    ,39.32194444,-121.8288889,400,2008,8/19/2008,,CA,,MISSING/NOT SPECIFIED,Debris Burning
AVENAL,36.0164,-120.3561,940,2008,8/19/2008,8/19/2008,CA,,PRIVATE,Missing/Undefined
RED                      ,38.93694444,-122.7561111,300,2008,8/18/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
SILVER CREEK,38.36972222,-119.5186111,680,2008,8/17/2008,8/23/2008,CA,51,USFS,Lightning
JACK,41.81167,-121.52778,6065,2008,8/17/2008,8/31/2008,CA,,NPS,Lightning
SLINKARD,41.82222222,-123.1722222,374,2008,8/17/2008,10/14/2008,CA,93,USFS,Lightning
LONG BRANCH-JACK,39.95166667,-121.3338889,3934,2008,8/14/2008,8/17/2008,CA,63,USFS,Lightning
ELK                      ,36.03194444,-118.8580556,600,2008,8/14/2008,,CA,,MISSING/NOT SPECIFIED,Arson
RODEO,36.03306,-118.88144,800,2008,8/14/2008,8/14/2008,CA,,PRIVATE,Arson
CAMP                     ,39.88,-121.3830556,47647,2008,8/13/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
TURKEY                   ,35.87694444,-120.4169444,400,2008,8/7/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
SHERWIN,37.61027778,-118.9402778,300,2008,8/3/2008,10/14/2008,CA,51,USFS,Missing/Undefined
CRAIG                    ,39.555,-121.3619444,2001,2008,8/3/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
RICH,40.02,-121.1675,6112,2008,7/29/2008,9/2/2008,CA,63,USFS,Railroad
ABERNATHY                ,38.305,-122.0661111,300,2008,7/28/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
TEHIPITE,36.90361111,-118.8011111,7456,2008,7/25/2008,12/12/2008,CA,19,USFS,Lightning
TELEGRAPH,37.5675,-119.9969444,34091,2008,7/25/2008,9/15/2008,CA,43,MISSING/NOT SPECIFIED,Miscellaneous
PANTHER,41.5925,-123.4316667,44452,2008,7/23/2008,10/14/2008,CA,93,USFS,Lightning
HWY 152  E/ ROMERO VI 113,37.08388888,-121.1011111,700,2008,7/21/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
DINO IC                  ,37.09111111,-121.1980556,800,2008,7/10/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
ANTHONY MILNE,41.505,-123.1816667,1779,2008,7/7/2008,12/16/2008,CA,93,USFS,Lightning
GIBBON 3,35.984625,-118.784311,300,2008,7/5/2008,7/6/2008,CA,,BIA,Arson
GIBBON 4,35.98436,-118.78522,300,2008,7/5/2008,7/6/2008,CA,,BIA,Arson
GIBBON 2,35.9856,-118.7856,300,2008,7/5/2008,7/6/2008,CA,,BIA,Arson
TRAVIS 1 LIGHTNING       ,40.03,-123.2338889,650,2008,7/5/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
JAMESON LIGHTNING        ,39.69,-123.2388889,925,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
LOST PIPE LIGHTNING      ,39.78388888,-123.7119444,1200,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
BURGER CK LIGHTNING      ,39.72194444,-123.39,528,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
CASOOSE CREEK LIGHTNING  ,40.005,-123.205,550,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
BUTCH LIGHTNING          ,39.72,-123.1788889,2800,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
MONTGOMERY FLAT          ,39.22194444,-123.3911111,3000,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
LOW GAP 1 LIGHTNING      ,39.16611111,-123.39,1700,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
HORSE LIGHTNING          ,39.19,-123.415,1000,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
TRAVIS 3 LIGHTING        ,40.04694444,-123.2180556,750,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
JACK SMITH LIGHTNING     ,39.26388888,-123.3288889,2000,2008,7/4/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
ORR SPRINGS RD  ORR 3    ,39.22,-123.3330556,3000,2008,7/3/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
WIGGLE                   ,36.02694444,-118.9211111,450,2008,7/1/2008,,CA,,MISSING/NOT SPECIFIED,Arson
GAP,34.50083333,-119.8605556,9443,2008,7/1/2008,7/17/2008,CA,83,USFS,Miscellaneous
HARDY RIDGE LIGHTNING    ,39.63805555,-123.785,5581,2008,6/30/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
PIUTE,35.41916667,-118.4002778,37026,2008,6/28/2008,7/30/2008,CA,29,USFS,Miscellaneous
JUAN CREEK LIGHTNING     ,39.69111111,-123.7611111,450,2008,6/27/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
GRANITE,40.91694444,-123.0013889,542,2008,6/27/2008,9/14/2008,CA,105,USFS,Lightning
MILL,40.15027778,-121.8475,4747,2008,6/24/2008,6/29/2008,CA,103,MISSING/NOT SPECIFIED,Lightning
RIVER WF,37.6025,-121.1833333,580,2008,6/24/2008,6/25/2008,CA,,FWS,Miscellaneous
MERRILL,41.42527778,-123.4311111,8332,2008,6/23/2008,10/3/2008,CA,93,USFS,Lightning
MOTION,40.71666667,-122.4344444,28336,2008,6/23/2008,7/28/2008,CA,89,MISSING/NOT SPECIFIED,Lightning
CORRAL,40.875,-120.875,12500,2008,6/23/2008,7/7/2008,CA,35,STATE OR PRIVATE,Lightning
VINEGAR,40.06722222,-122.9308333,17449,2008,6/22/2008,6/25/2008,CA,21,USFS,Lightning
5-8 CLIFF LIGHTNING      ,39.06805555,-123.4280556,1000,2008,6/22/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
CLIFF RIDGE B LIGHTNING  ,39.06111111,-123.5638889,999,2008,6/22/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
POPCORN,40.956983,-121.321236,3000,2008,6/22/2008,,CA,,STATE OR PRIVATE,Lightning
ORR SPRINGS RD  UKV 2    ,39.18111111,-123.2361111,3000,2008,6/22/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
WESTVILLE,39.16333333,-120.66,10836,2008,6/22/2008,8/1/2008,CA,61,USFS,Lightning
PEAVINE,39.28222222,-120.6144444,552,2008,6/22/2008,8/1/2008,CA,61,USFS,Lightning
GROUSE,40.11972222,-122.9836111,6246,2008,6/22/2008,7/5/2008,CA,105,USFS,Lightning
CHINO,39.76388889,-121.4366667,340,2008,6/22/2008,8/31/2008,CA,7,USFS,Lightning
FOX,39.76472222,-121.3261111,400,2008,6/22/2008,8/31/2008,CA,7,USFS,Lightning
LITTLE,39.77333333,-121.2502778,1450,2008,6/22/2008,8/31/2008,CA,63,USFS,Lightning
CARIBOU,41.03472222,-123.0027778,13116,2008,6/22/2008,12/16/2008,CA,93,USFS,Lightning
DEADSHOT,40.48388889,-122.9297222,1069,2008,6/22/2008,7/8/2008,CA,105,USFS,Lightning
DONKEY MINE RD / OAK RU 2,40.72388888,-122.0230556,557,2008,6/22/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
VENTURE,40.99333333,-121.6016667,1912,2008,6/22/2008,7/4/2008,CA,89,USFS,Lightning
QUARRY CZU5708           ,37.68388888,-122.41,300,2008,6/22/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
YELLOW,40.07555556,-123.0963889,32250,2008,6/22/2008,11/20/2008,CA,105,USFS,Lightning
DEERLICK,40.46333333,-122.8827778,10213,2008,6/22/2008,8/13/2008,CA,105,USFS,Lightning
LMU PETERSON COM,40.9114,-121.3789,4700,2008,6/22/2008,6/30/2008,CA,Shasta,BLM,Lightning
HUU WALKER,39.0464,-122.5333,11089,2008,6/22/2008,6/28/2008,CA,Lake,PRIVATE,Equipment Use
PIT,39.97,-121.2963889,11496,2008,6/22/2008,10/6/2008,CA,63,USFS,Lightning
NORTH MTN,37.895,-119.9180556,2889,2008,6/21/2008,7/19/2008,CA,109,USFS,Lightning
WILD                     ,38.29888888,-122.2030556,4200,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
SCOTCH,39.78611111,-121.1872222,13009,2008,6/21/2008,8/31/2008,CA,63,USFS,Lightning
SMOKEY,40.05472222,-121.6255556,1324,2008,6/21/2008,8/20/2008,CA,103,MISSING/NOT SPECIFIED,Lightning
HUMMING BIRD,37.045614,-121.653211,750,2008,6/21/2008,,CA,,STATE OR PRIVATE,Miscellaneous
SILVER KNOB,37.43916667,-119.6772222,600,2008,6/21/2008,6/26/2008,CA,43,USFS,Lightning
BUCKHORN,40.86666667,-123.2852778,31419,2008,6/21/2008,7/31/2008,CA,105,USFS,Lightning
OSO LIGHTNING            ,39.135,-123.4438889,373,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
SHAMROCK EAST LIGHTNING  ,39.66,-123.3569444,469,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
5-8 MALLO-B LIGHTNING    ,39.13611111,-123.545,4466,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
HARTMAN,39.73305556,-121.1630556,331,2008,6/21/2008,8/31/2008,CA,63,USFS,Lightning
BRUSHY 3 LIGHTNING       ,39.68805555,-123.2911111,327,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
STEIN,40.80722222,-122.0977778,1209,2008,6/21/2008,7/1/2008,CA,89,USFS,Lightning
BRUSHY 1 LIGHTNING       ,39.69388888,-123.3419444,391,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
BROWN                    ,36.76194444,-121.175,3870,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
BELDEN,40.015,-121.2686111,474,2008,6/21/2008,10/6/2008,CA,63,USFS,Lightning
CEDAR,40.78138889,-123.4336111,25398,2008,6/21/2008,7/31/2008,CA,105,USFS,Lightning
CAREY,41.07222222,-123.3025,3044,2008,6/21/2008,7/31/2008,CA,105,USFS,Lightning
SINGLY LIGHTNING         ,39.23388888,-123.3980556,3000,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
MEU RED MTN 1 3,39.8644,-123.6647,3597,2008,6/21/2008,7/25/2008,CA,Humboldt,BLM,Lightning
HUU PARADISE,40.3994,-123.9494,886,2008,6/21/2008,7/18/2008,CA,Humboldt,BLM,Lightning
SHU MOON COMPLEX,40.5494,-122.75603,1167,2008,6/21/2008,8/29/2008,CA,Shasta,BLM,Lightning
BTU CAMP,39.7778,-121.55247,787.5,2008,6/21/2008,7/29/2008,CA,Butte,BLM,Lightning
SHU MOTION DEMOCRAT,40.68033,-122.48786,6267,2008,6/21/2008,8/29/2008,CA,Shasta,BLM,Lightning
BROWNS,36.417,-120.553,1054,2008,6/21/2008,6/24/2008,CA,San Benito,BLM,Lightning
GOVERNMENT,39.21555556,-120.6486111,9164,2008,6/21/2008,8/1/2008,CA,61,USFS,Lightning
EO2A                     ,40.74,-122.1069444,1200,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
LAKEHEAD                 ,40.67305555,-122.4738889,27936,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
IGO 13                   ,40.55611111,-122.7388889,600,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
IGO 15                   ,40.51194444,-122.8119444,1200,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
IGO 16                   ,40.46694444,-122.83,4800,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
IGO 17                   ,40.555,-122.7019444,2400,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
IGO 18                   ,40.51,-122.775,4200,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
ONION 2,40.18083333,-121.5666667,4851,2008,6/21/2008,7/22/2008,CA,103,MISSING/NOT SPECIFIED,Lightning
TROUGH #1,40.20055556,-123.1247222,3674,2008,6/21/2008,8/13/2008,CA,105,USFS,Lightning
CUB,40.17916667,-121.4702778,14936,2008,6/21/2008,7/31/2008,CA,103,USFS,Lightning
SLIDE,40.66611111,-123.5202778,1158,2008,6/21/2008,7/8/2008,CA,105,USFS,Lightning
NOBLE,40.32583333,-122.9622222,12856,2008,6/21/2008,7/8/2008,CA,103,USFS,Lightning
SOUTH,39.70611111,-121.2505556,1000,2008,6/21/2008,8/31/2008,CA,7,USFS,Lightning
BONANZA,40.2225,-123.2222222,1370,2008,6/21/2008,7/5/2008,CA,105,USFS,Lightning
CELINA,39.46666667,-120.75,397,2008,6/21/2008,8/20/2008,CA,91,USFS,Lightning
OLIVER,37.48722222,-119.7538889,2200,2008,6/21/2008,7/14/2008,CA,43,USFS,Lightning
TRAVIS,40.115,-123.2944444,957,2008,6/21/2008,6/26/2008,CA,105,USFS,Lightning
BACK,39.375,-122.9755556,1567,2008,6/21/2008,6/29/2008,CA,33,USFS,Lightning
IRON,40.14583333,-122.8661111,32903,2008,6/21/2008,8/23/2008,CA,105,USFS,Lightning
BIG,39.42888889,-123.0641667,2193,2008,6/21/2008,7/5/2008,CA,33,STATE OR PRIVATE,Lightning
MONKEY  ROCK,39.55222222,-122.9613889,1829,2008,6/21/2008,7/14/2008,CA,33,USFS,Lightning
MINERS,40.66972222,-123.3055556,24776,2008,6/21/2008,10/31/2008,CA,105,USFS,Lightning
COLEMAN FISH HATCHERY R 3,40.40194444,-122.1430556,388,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
MILL,39.47833333,-123.0433333,3043,2008,6/21/2008,7/26/2008,CA,33,USFS,Lightning
WHITMORE RD / OLD COW C 2,40.62305555,-121.955,2054,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
HAYPRESS,41.45333333,-123.3930556,13654,2008,6/21/2008,10/3/2008,CA,93,USFS,Lightning
BLUE 2,41.56527778,-123.8205556,17540,2008,6/21/2008,10/3/2008,CA,15,USFS,Lightning
JAKE,41.35638889,-123.3761111,38394,2008,6/21/2008,10/3/2008,CA,93,USFS,Lightning
HALF,40.77111111,-123.5277778,15118,2008,6/21/2008,8/25/2008,CA,105,USFS,Lightning
WHISKEYTOWN COMPLEX,40.614,-122.6322,6420,2008,6/21/2008,10/4/2008,CA,,NPS,Lightning
QUARRY,39.91861111,-121.3538889,439,2008,6/21/2008,6/23/2008,CA,63,USFS,Lightning
FLEA VALLEY #2           ,39.84194444,-121.5011111,1248,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
FALL,39.36,-120.6966667,2420,2008,6/21/2008,6/23/2008,CA,57,USFS,Lightning
BREAKNECK                ,39.90611111,-121.3919444,715,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
WEST BRANCH              ,39.85111111,-121.5319444,3206,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
FREY                     ,39.635,-121.2519444,4000,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
RIM                      ,39.78805555,-121.4769444,1651,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
EMPIRE                   ,39.81888888,-121.5169444,2000,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
LYNCH                    ,39.92888888,-121.5680556,800,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
SCOTCHMAN,39.34944444,-120.7791667,1230,2008,6/21/2008,6/23/2008,CA,57,STATE OR PRIVATE,Lightning
ZEIGLER,40.86666667,-123.475,2349,2008,6/21/2008,7/31/2008,CA,105,USFS,Lightning
COLD,39.84222222,-120.8366667,5512,2008,6/21/2008,8/31/2008,CA,63,USFS,Lightning
BASIN COMPLEX,36.28111111,-121.6583333,162818,2008,6/21/2008,7/27/2008,CA,53,USFS,Lightning
LOWER SHU LIGHTNING,40.640225,-122.758933,1309,2008,6/21/2008,7/14/2008,CA,Shasta,BOR,Lightning
EAGLE,40.73416667,-123.1666667,32059,2008,6/21/2008,10/4/2008,CA,105,USFS,Lightning
STA 57 ONO CDF IGO 2     ,40.45388888,-122.6330556,4000,2008,6/21/2008,,CA,,MISSING/NOT SPECIFIED,Lightning
PETERSON,40.9125,-121.3416667,2750,2008,6/21/2008,7/1/2008,CA,89,USFS,Lightning
IRONSIDE,40.83333333,-123.4341667,12720,2008,6/21/2008,7/31/2008,CA,105,USFS,Lightning
LIME,40.51833333,-123.4227778,25199,2008,6/20/2008,8/13/2008,CA,105,USFS,Lightning
DARK,41.61555556,-123.5769444,10388,2008,6/20/2008,7/23/2008,CA,93,USFS,Lightning
ALBION RIVER LIGHTNING   ,39.23805555,-123.7230556,1000,2008,6/20/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
TELEPHONE,40.40666667,-123.1319444,6625,2008,6/20/2008,8/13/2008,CA,105,USFS,Lightning
THREE,41.59972222,-123.5675,4913,2008,6/20/2008,7/23/2008,CA,93,USFS,Lightning
TRABING,36.93205,-121.809,630,2008,6/20/2008,,CA,,MISSING/NOT SPECIFIED,Equipment Use
MILL,41.56333333,-123.5947222,65834,2008,6/20/2008,10/3/2008,CA,93,USFS,Lightning
MEU ORR,39.2183,-123.4108,3416,2008,6/20/2008,7/12/2008,CA,Mendocino,BLM,Lightning
MEU JACKS,39.2633,-123.3311,1538,2008,6/20/2008,7/12/2008,CA,Mendocino,PRIVATE,Lightning
ELECTRA,38.331944,-120.670278,400,2008,6/13/2008,6/15/2008,CA,AMADOR,STATE,Missing/Undefined
WHISKEY,39.89388889,-122.7075,7783,2008,6/12/2008,10/27/2008,CA,21,USFS,Miscellaneous
HUMBOLDT,39.762464,-121.736696,23344,2008,6/11/2008,,CA,,MISSING/NOT SPECIFIED,Arson
MARTIN FIRE,37.05622,-122.142177,520,2008,6/11/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
JACKSON,38.883333,-121.563611,6400,2008,6/10/2008,6/12/2008,CA,Sacramento,STATE,Missing/Undefined
OPHIR,39.464722,-121.573333,1600,2008,6/10/2008,,CA,Butte,STATE,Missing/Undefined
HWY 41  / HWY 145 20     ,37.01,-119.7938889,3300,2008,6/10/2008,,CA,,MISSING/NOT SPECIFIED,Equipment Use
PINE                     ,38.81305555,-122.9811111,989,2008,6/10/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
LA GRANGE                ,37.71611111,-120.4461111,1346,2008,6/10/2008,,CA,,MISSING/NOT SPECIFIED,Equipment Use
RICHBAR,35.48194444,-118.7186111,312,2008,6/9/2008,6/9/2008,CA,29,USFS,Arson
INDIANS,36.10527778,-121.4308333,81378,2008,6/8/2008,7/10/2008,CA,53,USFS,Campfire
ACOMA FIRE CDD6343,34.08014,-116.43719,356,2008,6/7/2008,6/10/2008,CA,San Bernardino,BLM,Miscellaneous
GRAPEVINE,34.9372,-118.9319,507,2008,6/6/2008,6/6/2008,CA,,PRIVATE,Equipment Use
85,38.77194444,-122.0538889,322,2008,6/5/2008,,CA,,MISSING/NOT SPECIFIED,Equipment Use
CLOVER,36.11666667,-118.1336111,15300,2008,5/31/2008,6/7/2008,CA,107,USFS,Lightning
JOHNSON VMP              ,33.55388888,-117.1111111,424,2008,5/28/2008,,CA,,MISSING/NOT SPECIFIED,Debris Burning
GATOS                    ,36.20888888,-120.3911111,331,2008,5/22/2008,,CA,,MISSING/NOT SPECIFIED,Miscellaneous
SUMMIT,37.128611,-121.945556,4270,2008,5/22/2008,,CA,,MISSING/NOT SPECIFIED,Missing/Undefined
AVACADO                  ,36.78388888,-119.3680556,1100,2008,5/20/2008,,CA,,MISSING/NOT SPECIFIED,Equipment Use
BIGHORN,34.24944444,-117.6516667,490,2008,5/13/2008,5/23/2008,CA,71,USFS,Miscellaneous
COLYEAR SPRINGS RD / RAGL,40.06611111,-122.745,1331,2008,5/6/2008,,CA,,MISSING/NOT SPECIFIED,Debris Burning
HONEYBEE,35.16666667,-118.0522222,1225,2008,5/6/2008,7/1/2008,CA,107,USFS,Lightning
APACHE,33.72027778,-116.6252778,769,2008,4/29/2008,5/7/2008,CA,65,USFS,Smoking
SANTA ANITA,34.17333333,-118.03,584,2008,4/26/2008,5/2/2008,CA,37,MISSING/NOT SPECIFIED,Arson
DOS PALMAS,33.5081,-115.825,456,2008,4/13/2008,4/15/2008,CA,Riverside,BLM,Powerline
BLUFF,37.4286,-118.5497,680,2008,3/16/2008,3/20/2008,CA,Inyo,STATE,Debris Burning
"""CONTROL BURN, GEYSERS""  ",38.78,-122.7230556,400,2008,2/13/2008,,CA,,MISSING/NOT SPECIFIED,Debris Burning
CORRAL,34.0786,-118.7562,4901,2007,11/24/2007,11/28/2007,CA,,NPS,Campfire
JACK,37.5642,-119.6703,1082,2007,11/8/2007,12/18/2007,CA,,NPS,Lightning
O'HARREL,37.76916667,-118.7402778,560,2007,10/30/2007,12/18/2007,CA,51,USFS,Lightning
POOMACHA,33.2775,-116.8680556,49390,2007,10/23/2007,12/1/2007,CA,73,MISSING/NOT SPECIFIED,Miscellaneous
AMMO FIRE,33.380278,-117.508611,21004,2007,10/23/2007,11/1/2007,CA,SAN DIEGO,OTHER FEDERAL,Missing/Undefined
GRASS VALLEY,34.27472222,-117.2169444,1247,2007,10/22/2007,,CA,71,USFS,Miscellaneous
SLIDE,34.25194444,-117.05,12759,2007,10/22/2007,11/14/2007,CA,71,USFS,Miscellaneous
ROSA,33.494444,-117.178333,411,2007,10/22/2007,10/25/2007,CA,Riverside,MISSING/NOT SPECIFIED,Missing/Undefined
RICE,33.39694444,-117.1480556,9472,2007,10/22/2007,10/29/2007,CA,73,MISSING/NOT SPECIFIED,Miscellaneous
MAGIC,34.422222,-118.583333,2824,2007,10/22/2007,10/25/2007,CA,Los Angeles,COUNTY,Missing/Undefined
SANTIAGO,33.74583333,-117.6666667,28476,2007,10/21/2007,11/8/2007,CA,59,MISSING/NOT SPECIFIED,Miscellaneous
MCCOY,32.87083333,-116.6355556,353,2007,10/21/2007,10/24/2007,CA,73,STATE OR PRIVATE,Miscellaneous
BUCKWEED,34.52444444,-118.3347222,38356,2007,10/21/2007,10/21/2007,CA,37,MISSING/NOT SPECIFIED,Children
WITCH,33.07444444,-116.7111111,197990,2007,10/21/2007,10/31/2007,CA,73,MISSING/NOT SPECIFIED,Miscellaneous
SEDGEWICK,34.734167,-120.005,710,2007,10/21/2007,10/24/2007,CA,Santa Barbara,COUNTY,Missing/Undefined
